	Gene_symbol	Ensembl_ID	Coding gene
0	ADA2	ENSG00000093072	Coding gene
1	ADGRE1	ENSG00000174837	Coding gene
2	APOL3	ENSG00000128284	Coding gene
3	ARHGDIB	ENSG00000111348	Coding gene
4	AURKA	ENSG00000087586	Coding gene
5	B2M	ENSG00000166710	Coding gene
6	BTN3A3	ENSG00000111801	Coding gene
7	C1orf54	ENSG00000118292	Coding gene
8	C1QB	ENSG00000173369	Coding gene
9	C3AR1	ENSG00000171860	Coding gene
10	CCL5	ENSG00000271503	Coding gene
11	CD38	ENSG00000004468	Coding gene
12	CD3D	ENSG00000167286	Coding gene
13	CD48	ENSG00000117091	Coding gene
14	CD53	ENSG00000143119	Coding gene
15	CD5L	ENSG00000073754	Coding gene
16	CD74	ENSG00000019582	Coding gene
17	CD83	ENSG00000112149	Coding gene
18	CFL1	ENSG00000172757	Coding gene
19	COTL1	ENSG00000103187	Coding gene
20	CTSB	ENSG00000164733	Coding gene
21	CTSC	ENSG00000109861	Coding gene
22	CXCL10	ENSG00000169245	Coding gene
23	CXCL9	ENSG00000138755	Coding gene
24	CXCR4	ENSG00000121966	Coding gene
25	DENND2D	ENSG00000162777	Coding gene
26	DRAM1	ENSG00000136048	Coding gene
27	FCER1G	ENSG00000158869	Coding gene
28	FCGR1A	ENSG00000150337	Coding gene
29	FGL2	ENSG00000127951	Coding gene
30	GABBR1	ENSG00000204681	Coding gene
31	GBP1	ENSG00000117228	Coding gene
32	GBP2	ENSG00000162645	Coding gene
33	GIMAP5	ENSG00000196329	Coding gene
34	GM2A	ENSG00000196743	Coding gene
35	GPNMB	ENSG00000136235	Coding gene
36	GZMA	ENSG00000145649	Coding gene
37	GZMK	ENSG00000113088	Coding gene
38	HLA-A	ENSG00000206503	Coding gene
39	HLA-B	ENSG00000234745	Coding gene
40	HLA-DMA	ENSG00000204257	Coding gene
41	HLA-DMB	ENSG00000242574	Coding gene
42	HLA-DPA1	ENSG00000231389	Coding gene
43	HLA-DPB1	ENSG00000223865	Coding gene
44	HLA-DQB1	ENSG00000179344	Coding gene
45	HLA-DRA	ENSG00000204287	Coding gene
46	HLA-DRB1	ENSG00000196126	Coding gene
47	HLA-E	ENSG00000204592	Coding gene
48	HLA-F	ENSG00000204642	Coding gene
49	IFI16	ENSG00000163565	Coding gene
50	IFI27	ENSG00000165949	Coding gene
51	IFI30	ENSG00000216490	Coding gene
52	IGHG1	ENSG00000211896	Non-coding gene
53	IGLC2	ENSG00000211677	Non-coding gene
54	IGSF6	ENSG00000140749	Coding gene
55	IL10RA	ENSG00000110324	Coding gene
56	ISG20	ENSG00000172183	Coding gene
57	KPNA2	ENSG00000182481	Coding gene
58	LAP3	ENSG00000002549	Coding gene
59	LAPTM5	ENSG00000162511	Coding gene
60	LGALS3	ENSG00000131981	Coding gene
61	LPXN	ENSG00000110031	Coding gene
62	LYZ	ENSG00000090382	Coding gene
63	MCM6	ENSG00000076003	Coding gene
64	PARP12	ENSG00000059378	Coding gene
65	PBK	ENSG00000168078	Coding gene
66	PIK3CD	ENSG00000171608	Coding gene
67	PLAAT4	ENSG00000133321	Coding gene
68	PLAC8	ENSG00000145287	Coding gene
69	PPT1	ENSG00000131238	Coding gene
70	PRC1	ENSG00000198901	Coding gene
71	PSMB10	ENSG00000205220	Coding gene
72	PSMB9	ENSG00000240065	Coding gene
73	PSME1	ENSG00000092010	Coding gene
74	PSME2	ENSG00000100911	Coding gene
75	PTTG1	ENSG00000164611	Coding gene
76	RAB20	ENSG00000139832	Coding gene
77	RAB27A	ENSG00000069974	Coding gene
78	RAB31	ENSG00000168461	Coding gene
79	RAC2	ENSG00000128340	Coding gene
80	RFX5	ENSG00000143390	Coding gene
81	RGL1	ENSG00000143344	Coding gene
82	RNASET2	ENSG00000026297	Coding gene
83	RRM2	ENSG00000171848	Coding gene
84	S100A10	ENSG00000197747	Coding gene
85	SLC7A7	ENSG00000155465	Coding gene
86	SOD2	ENSG00000112096	Coding gene
87	SP110	ENSG00000135899	Coding gene
88	SRGN	ENSG00000122862	Coding gene
89	STAT1	ENSG00000115415	Coding gene
90	TAPBP	ENSG00000231925	Coding gene
91	THEMIS2	ENSG00000130775	Coding gene
92	TPP1	ENSG00000166340	Coding gene
93	TRBC1	ENSG00000211751	Non-coding gene
94	TRGC2	ENSG00000227191	Non-coding gene
95	TRIM22	ENSG00000132274	Coding gene
96	TYMS	ENSG00000176890	Coding gene
97	TYROBP	ENSG00000011600	Coding gene
98	UBE2C	ENSG00000175063	Coding gene
99	UBE2L6	ENSG00000156587	Coding gene
100	UCP2	ENSG00000175567	Coding gene
101	VSIG4	ENSG00000155659	Coding gene
102	WARS1	ENSG00000140105	Coding gene
