	Symbol	EnsID
0	ALB	ENSG00000163631
1	APOE	ENSG00000130203
2	APOA2	ENSG00000158874
3	HP	ENSG00000257017
4	CYP2E1	ENSG00000130649
5	CCL26	ENSG00000006606
6	FDCSP	ENSG00000181617
7	APOC3	ENSG00000110245
8	PGA5	ENSG00000256713
9	NTS	ENSG00000133636
10	LYZ	ENSG00000090382
11	APOA1	ENSG00000118137
12	REG3A	ENSG00000172016
13	AGR2	ENSG00000106541
14	AHSG	ENSG00000145192
15	TFF1	ENSG00000160182
16	REG1A	ENSG00000115386
17	SPINK4	ENSG00000122711
18	GAGE12H	ENSG00000224902
19	SPINK1	ENSG00000164266
20	CEACAM5	ENSG00000105388
21	VCX3A	ENSG00000169059
22	S100A8	ENSG00000143546
23	PAGE2B	ENSG00000238269
24	CA1	ENSG00000133742
25	TTR	ENSG00000118271
26	REG1B	ENSG00000172023
27	TFF3	ENSG00000160180
28	SPP1	ENSG00000118785
29	PLA2G2A	ENSG00000188257
30	PRAC1	ENSG00000159182
31	S100A9	ENSG00000163220
32	MT1X	ENSG00000187193
33	FAM3D	ENSG00000198643
34	CTSE	ENSG00000196188
35	PAGE2	ENSG00000234068
36	S100A6	ENSG00000197956
37	HPD	ENSG00000158104
38	IFI27	ENSG00000165949
39	VCX2	ENSG00000177504
40	C10orf99	ENSG00000188373
41	PAGE1	ENSG00000068985
42	FABP1	ENSG00000163586
43	S100P	ENSG00000163993
44	MT1H	ENSG00000205358
45	SAA1	ENSG00000173432
46	NDUFA4L2	ENSG00000185633
47	LEFTY1	ENSG00000243709
48	ADH1B	ENSG00000196616
49	CYP3A4	ENSG00000160868
50	CRP	ENSG00000132693
51	CXCL1	ENSG00000163739
52	PTGDS	ENSG00000107317
53	CHI3L1	ENSG00000133048
54	ADH4	ENSG00000198099
55	TPSAB1	ENSG00000172236
56	MT1G	ENSG00000125144
57	SCGB1A1	ENSG00000149021
58	SERPINB3	ENSG00000057149
59	AGXT	ENSG00000172482
60	MT1E	ENSG00000169715
61	VCX	ENSG00000182583
62	NQO1	ENSG00000181019
63	A1BG	ENSG00000121410
64	LAMC2	ENSG00000058085
65	TFF2	ENSG00000160181
66	HSPA6	ENSG00000173110
67	EPCAM	ENSG00000119888
68	REG4	ENSG00000134193
69	CYP2D6	ENSG00000100197
70	AKR1C2	ENSG00000151632
71	CEACAM6	ENSG00000086548
72	ITM2A	ENSG00000078596
73	CXCL10	ENSG00000169245
74	AKR1B10	ENSG00000198074
75	ADH1C	ENSG00000248144
76	KRT17	ENSG00000128422
77	PGA4	ENSG00000229183
78	RBP4	ENSG00000138207
79	DKK1	ENSG00000107984
80	ORM1	ENSG00000229314
81	PAGE5	ENSG00000158639
82	FXYD2	ENSG00000137731
83	APOH	ENSG00000091583
84	GC	ENSG00000145321
85	CCL20	ENSG00000115009
86	CRISP3	ENSG00000096006
87	SCGB3A1	ENSG00000161055
88	GAGE2A	ENSG00000189064
89	PYY	ENSG00000131096
90	CXCL8	ENSG00000169429
91	PLCG2	ENSG00000197943
92	IL13RA2	ENSG00000123496
93	S100A11	ENSG00000163191
94	GP2	ENSG00000169347
95	KRT19	ENSG00000171345
96	TIMP1	ENSG00000102265
97	CYBA	ENSG00000051523
98	UCHL1	ENSG00000154277
99	FOS	ENSG00000170345
100	GSTA1	ENSG00000243955
101	CYP2C9	ENSG00000138109
102	MT2A	ENSG00000125148
103	FGL1	ENSG00000104760
104	ANXA1	ENSG00000135046
105	ALDH3A1	ENSG00000108602
106	OLFM4	ENSG00000102837
107	DEFB1	ENSG00000164825
108	APOA4	ENSG00000110244
109	TACSTD2	ENSG00000184292
110	CPA2	ENSG00000158516
111	IGFBP1	ENSG00000146678
112	GLUL	ENSG00000135821
113	MAGEA4	ENSG00000147381
114	KRT20	ENSG00000171431
115	BPIFA1	ENSG00000198183
116	PRSS3	ENSG00000010438
117	FGF19	ENSG00000162344
118	CXCL6	ENSG00000124875
119	PGC	ENSG00000096088
120	SERPINC1	ENSG00000117601
121	CST9L	ENSG00000101435
122	LCN2	ENSG00000148346
123	CXCL3	ENSG00000163734
124	APOM	ENSG00000204444
125	CXCL5	ENSG00000163735
126	SDS	ENSG00000135094
127	BEX1	ENSG00000133169
128	GSTP1	ENSG00000084207
129	CLDN6	ENSG00000184697
130	BPIFB2	ENSG00000078898
131	MUC6	ENSG00000184956
132	UBE2C	ENSG00000175063
133	AGR3	ENSG00000173467
134	CKB	ENSG00000166165
135	GPX2	ENSG00000176153
136	HES1	ENSG00000114315
137	NPPB	ENSG00000120937
138	MAEL	ENSG00000143194
139	MSMB	ENSG00000263639
140	APOC1	ENSG00000130208
141	ADIRF	ENSG00000148671
142	ANKRD1	ENSG00000148677
143	FGB	ENSG00000171564
144	TPM2	ENSG00000198467
145	CFHR1	ENSG00000244414
146	AKR1C1	ENSG00000187134
147	TFPI	ENSG00000003436
148	TPSB2	ENSG00000197253
149	MS4A2	ENSG00000149534
150	TDO2	ENSG00000151790
151	SAA2	ENSG00000134339
