	Gene	p-value	liri_p-value	Go	Description	Condition	#Nmodule
14	SELPLG	0.037709932558891	0.037709932558891	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	4
14	SELPLG	0.0280702583715427	0.0280702583715427	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	4
14	SELPLG	0.0009977771486059	0.0009977771486059	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	4
14	SELPLG	0.0	0.0	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	4
87	UBE2G2	3.79365077200532e-12	3.79365077200532e-12	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
2	CSF1R	1.6241946926866e-05	1.6241946926866e-05	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
2	CSF1R	0.0006152141286081	0.0006152141286081	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
5	STAT1	0.0047477716232668	0.0047477716232668	GO:0035456	response-to-interferon-beta	tumor_only_25	3
1	CSF1R	0.027164674327005	0.027164674327005	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	3
79	STAT1	0.049215726756389	0.049215726756389	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
75	STAT1	5.9661852220571e-99	5.9661852220571e-99	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
91	UBE2G2	0.0301008469216907	0.0301008469216907	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
4	UBE2G2	0.0460399788955937	0.0460399788955937	GO:0035456	response-to-interferon-beta	tumor_only_25	3
31	SPI1	6.21609233866731e-112	6.21609233866731e-112	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
34	HYAL3	0.0018486349100067	0.0018486349100067	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
92	HCLS1	0.0044914341268914	0.0044914341268914	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
88	HCLS1	6.82413342111141e-20	6.82413342111141e-20	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
32	HLA.DPA1	0.0316629719804148	0.0316629719804148	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
30	HLA.DPA1	2.0370498234568897e-92	2.0370498234568897e-92	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
26	GBP2	0.0018068900247719	0.0018068900247719	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
