	Gene	p-value	liri_p-value	Go	Description	Condition	#Nmodule
6	PNP	0.0003610533129938	0.0003610533129938	GO:0051251	positive-regulation-of-lymphocyte-activation	hbv_only_35	10
0	PNP	0.0069746297412841	0.0069746297412841	GO:0009165	nucleotide-biosynthetic-process	tumor_only_25	10
7	PNP	0.0007478474893509	0.0007478474893509	GO:0050670	regulation-of-lymphocyte-proliferation	hbv_only_35	10
1	PNP	0.0076722084554037	0.0076722084554037	GO:0072522	purine-containing-compound-biosynthetic-process	tumor_only_25	10
6	PNP	0.0006194532692292	0.0006194532692292	GO:0042098	T-cell-proliferation	hbv_only_35	10
7	PNP	0.0007478474893509	0.0007478474893509	GO:0032944	regulation-of-mononuclear-cell-proliferation	hbv_only_35	10
6	PNP	0.0008679584583368	0.0008679584583368	GO:0070665	positive-regulation-of-leukocyte-proliferation	hbv_only_35	10
6	PNP	0.0006194532692292	0.0006194532692292	GO:0042129	regulation-of-T-cell-proliferation	hbv_only_35	10
7	PNP	0.0004305051639531	0.0004305051639531	GO:1903037	regulation-of-leukocyte-cell-cell-adhesion	hbv_only_35	10
4	PNP	0.0002542060372635	0.0002542060372635	GO:0050870	positive-regulation-of-T-cell-activation	hbv_only_35	10
5	HMGB1	0.0022721595411216	0.0022721595411216	GO:0070665	positive-regulation-of-leukocyte-proliferation	hbv_only_35	8
3	HMGB1	0.0053103693444263	0.0053103693444263	GO:0032944	regulation-of-mononuclear-cell-proliferation	hbv_only_35	8
4	HMGB1	0.0040259785966817	0.0040259785966817	GO:0051251	positive-regulation-of-lymphocyte-activation	hbv_only_35	8
3	HMGB1	0.0053103693444263	0.0053103693444263	GO:0050670	regulation-of-lymphocyte-proliferation	hbv_only_35	8
2	HMGB1	0.0049091734507807	0.0049091734507807	GO:0042129	regulation-of-T-cell-proliferation	hbv_only_35	8
2	HMGB1	0.0049091734507807	0.0049091734507807	GO:0042098	T-cell-proliferation	hbv_only_35	8
4	HMGB1	0.0093662269787962	0.0093662269787962	GO:1903037	regulation-of-leukocyte-cell-cell-adhesion	hbv_only_35	8
2	HMGB1	0.0034961815355417	0.0034961815355417	GO:0050870	positive-regulation-of-T-cell-activation	hbv_only_35	8
0	CSF1	0.0188996821039439	0.0188996821039439	GO:0070665	positive-regulation-of-leukocyte-proliferation	hbv_only_35	5
7	CSF1	0.0229338250863226	0.0229338250863226	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	5
0	CSF1	0.024333131973733	0.024333131973733	GO:0002690	positive-regulation-of-leukocyte-chemotaxis	hbv_only_35	5
22	CSF1	8.35002009002129e-161	8.35002009002129e-161	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	5
0	CSF1	0.0354249330785577	0.0354249330785577	GO:0070665	positive-regulation-of-leukocyte-proliferation	hbv_only_35	5
59	IL2RG	3.99799251553512e-05	3.99799251553512e-05	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	4
56	IL2RG	7.828707584953e-60	7.828707584953e-60	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	4
29	IL2RG	0.0016779678701383	0.0016779678701383	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	4
29	IL2RG	0.0452853797418063	0.0452853797418063	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	4
22	GBP2	0.0049182048983828	0.0049182048983828	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	3
48	GBP2	2.4136494794988e-242	2.4136494794988e-242	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
50	GBP2	0.047623640515388	0.047623640515388	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
9	ATP5MG	0.0122065460041975	0.0122065460041975	GO:0009165	nucleotide-biosynthetic-process	tumor_only_25	3
8	ATP5MG	0.0246658888343225	0.0246658888343225	GO:0006119	oxidative-phosphorylation	tumor_only_25	3
10	ATP5MG	0.0065077181662145	0.0065077181662145	GO:0072522	purine-containing-compound-biosynthetic-process	tumor_only_25	3
2	LEPR	0.0016818842877187	0.0016818842877187	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	3
4	LEPR	3.80837056808576e-96	3.80837056808576e-96	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
4	LEPR	0.0257113250671253	0.0257113250671253	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	3
7	ATP5PO	0.0168620342148004	0.0168620342148004	GO:0009165	nucleotide-biosynthetic-process	tumor_only_25	3
2	ATP5PO	0.0151485963329211	0.0151485963329211	GO:0006119	oxidative-phosphorylation	tumor_only_25	3
8	ATP5PO	0.0035832957069955	0.0035832957069955	GO:0072522	purine-containing-compound-biosynthetic-process	tumor_only_25	3
7	HLA.DRA	0.0461391893601376	0.0461391893601376	GO:0002456	T-cell-mediated-immunity	hbv_only_35	2
57	PARP9	5.9070876934583596e-12	5.9070876934583596e-12	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
4	NDUFA13	0.0365705898390302	0.0365705898390302	GO:0071345	cellular-response-to-cytokine-stimulus	hbv_only_35	2
7	NDUFA13	0.0012603815952625	0.0012603815952625	GO:0071345	cellular-response-to-cytokine-stimulus	tumor_only_25	2
5	MT.ATP8	0.0034412361455891	0.0034412361455891	GO:0009165	nucleotide-biosynthetic-process	tumor_only_25	2
