	N/P ratio	Precision	Precision std	Overall Precision	Overall Precision std	AUC	AUC std
0	5	0.8382352941176471	0.04053955196868852	0.3041598845423613	0.021257176378354888	0.5040714102234781	0.05580876623300461
1	10	0.8095238095238095	0.047575828463247254	0.43084260731319557	0.025406618911344762	0.5	0.053542922013134625
2	15	0.7966101694915254	0.04747242438956701	0.5301204819277109	0.02749318339946199	0.5095106601592603	0.054528217425482604
3	20	0.7868852459016393	0.05041330860052902	0.5995396855665734	0.028518622782712374	0.5650333932699717	0.11549969850632429
4	25	0.7894736842105263	0.051001017579830436	0.6675603217158177	0.028886410051336492	0.5110362095531589	0.08375936041944715
5	30	0.7857142857142857	0.052355701876327966	0.723342939481268	0.028770043683371375	0.5249036979969184	0.16967674806915364
6	35	0.8	0.052773962446161685	0.7738853503184714	0.027417590400909877	0.9409820776903739	0.06062771346216665
7	40	0.8035714285714286	0.05255647735064076	0.8084000180840002	0.024218751497499247	0.9387169278191625	0.05102956558319006
8	45	0.8070175438596491	0.05147940055833223	0.8404255319148937	0.02122511577273601	0.8922701592193117	0.05354668096265162
9	50	0.8113207547169812	0.053734875059837484	0.8671586715867159	0.018964644806193087	0.8677562291292062	0.05478718963786747
