	N/P ratio	Precision	Precision std	Overall Precision	Overall Precision std	AUC
0	5	0.6923076923076923	0.08861384746747318	0.0629275477870922	0.007131680038206497	0.4749486389316898
1	10	0.6086956521739131	0.09076842039068625	0.0911983032873807	0.00880106492886974	0.47351694915254233
2	15	0.5555555555555556	0.08877332856619205	0.11527777777777778	0.010984824302353542	0.5314153609041871
3	20	0.5238095238095238	0.09029460084912283	0.1401209310783779	0.012314221888171573	0.5157526329309016
4	25	0.5185185185185185	0.08903308009070272	0.15834237165582066	0.013790022335371653	0.5243559592355311
5	30	0.5	0.08468540197449562	0.17852776807544535	0.014956951741537508	0.4782879527356794
6	35	0.5	0.08855861467717997	0.19525846590997797	0.015361967108338172	0.5074473549049819
7	40	0.45454545454545453	0.1020892993601009	0.21450627579174092	0.017947820212485265	0.5014449011045466
8	45	0.43478260869565216	0.09545664534554384	0.2280130293159609	0.01930421533080849	0.4907229070364663
9	50	0.42857142857142855	0.09767729000056212	0.24279835390946503	0.01940450358048449	0.47497431946584495
