	Vote	Label	HGSC symbol
ENSG00000069849	0.0	non-hallmark gene	ATP1B3
ENSG00000131746	0.0	non-hallmark gene	TNS4
ENSG00000141027	0.0	non-hallmark gene	NCOR1
ENSG00000164587	0.0	non-hallmark gene	RPS14
ENSG00000122417	0.0	non-hallmark gene	ODF2L
ENSG00000142235	0.0	non-hallmark gene	LMTK3
ENSG00000102904	0.0	non-hallmark gene	TSNAXIP1
ENSG00000042062	0.0	non-hallmark gene	RIPOR3
ENSG00000165349	0.0	non-hallmark gene	SLC7A3
ENSG00000118849	279.0	non-hallmark gene	RARRES1
ENSG00000156413	0.0	non-hallmark gene	FUT6
ENSG00000213139	0.0	non-hallmark gene	CRYGS
ENSG00000149313	0.0	non-hallmark gene	AASDHPPT
ENSG00000165912	3.0	non-hallmark gene	PACSIN3
ENSG00000203965	0.0	non-hallmark gene	EFCAB7
ENSG00000100906	263.0	non-hallmark gene	NFKBIA
ENSG00000188263	0.0	non-hallmark gene	IL17REL
ENSG00000141756	0.0	non-hallmark gene	FKBP10
ENSG00000125534	2.0	non-hallmark gene	PPDPF
ENSG00000221855	0.0	non-hallmark gene	TAS2R41
ENSG00000152409	0.0	non-hallmark gene	JMY
ENSG00000110900	0.0	non-hallmark gene	TSPAN11
ENSG00000121413	0.0	non-hallmark gene	ZSCAN18
ENSG00000018280	0.0	non-hallmark gene	SLC11A1
ENSG00000010610	13.0	non-hallmark gene	CD4
ENSG00000204366	0.0	non-hallmark gene	ZBTB12
ENSG00000185019	0.0	non-hallmark gene	UBOX5
ENSG00000180801	0.0	non-hallmark gene	ARSJ
ENSG00000001167	0.0	non-hallmark gene	NFYA
ENSG00000162929	0.0	non-hallmark gene	SANBR
ENSG00000172969	0.0	non-hallmark gene	FRG2C
ENSG00000197562	0.0	non-hallmark gene	RAB40C
ENSG00000106771	0.0	non-hallmark gene	TMEM245
ENSG00000234776	0.0	non-hallmark gene	C11orf94
ENSG00000255833	0.0	non-hallmark gene	TIFAB
ENSG00000169230	0.0	non-hallmark gene	PRELID1
ENSG00000162337	0.0	non-hallmark gene	LRP5
ENSG00000163444	0.0	non-hallmark gene	TMEM183A
ENSG00000170382	0.0	non-hallmark gene	LRRN2
ENSG00000215114	0.0	non-hallmark gene	UBXN2B
ENSG00000159905	0.0	non-hallmark gene	ZNF221
ENSG00000136872	0.0	non-hallmark gene	ALDOB
ENSG00000113594	0.0	non-hallmark gene	LIFR
ENSG00000011132	0.0	non-hallmark gene	APBA3
ENSG00000174576	0.0	non-hallmark gene	NPAS4
ENSG00000065618	0.0	non-hallmark gene	COL17A1
ENSG00000250803	0.0	non-hallmark gene	
ENSG00000114113	0.0	non-hallmark gene	RBP2
ENSG00000105063	0.0	non-hallmark gene	PPP6R1
ENSG00000168876	0.0	non-hallmark gene	ANKRD49
ENSG00000271793	0.0	non-hallmark gene	
ENSG00000131142	0.0	non-hallmark gene	CCL25
ENSG00000142583	0.0	non-hallmark gene	SLC2A5
ENSG00000165449	46.0	non-hallmark gene	SLC16A9
ENSG00000255804	0.0	non-hallmark gene	OR6J1
ENSG00000169926	0.0	non-hallmark gene	KLF13
ENSG00000176209	0.0	non-hallmark gene	SMIM19
ENSG00000198804	204.0	non-hallmark gene	MT-CO1
ENSG00000231389	1000.0	Hallmark gene	HLA-DPA1
ENSG00000163633	0.0	non-hallmark gene	C4orf36
ENSG00000170270	4.0	non-hallmark gene	GON7
ENSG00000183770	0.0	non-hallmark gene	FOXL2
ENSG00000166979	0.0	non-hallmark gene	EVA1C
ENSG00000162591	0.0	non-hallmark gene	MEGF6
ENSG00000152147	0.0	non-hallmark gene	GEMIN6
ENSG00000134595	0.0	non-hallmark gene	SOX3
ENSG00000157350	0.0	non-hallmark gene	ST3GAL2
ENSG00000124459	0.0	non-hallmark gene	ZNF45
ENSG00000111863	0.0	non-hallmark gene	ADTRP
ENSG00000185112	0.0	non-hallmark gene	FAM43A
ENSG00000105679	0.0	non-hallmark gene	GAPDHS
ENSG00000133962	0.0	non-hallmark gene	CATSPERB
ENSG00000204420	0.0	non-hallmark gene	MPIG6B
ENSG00000197619	0.0	non-hallmark gene	ZNF615
ENSG00000203837	0.0	non-hallmark gene	PNLIPRP3
ENSG00000105398	0.0	non-hallmark gene	SULT2A1
ENSG00000255713	0.0	non-hallmark gene	OR4D2
ENSG00000078699	0.0	non-hallmark gene	CBFA2T2
ENSG00000278599	0.0	non-hallmark gene	TBC1D3E
ENSG00000174944	0.0	non-hallmark gene	P2RY14
ENSG00000168350	0.0	non-hallmark gene	DEGS2
ENSG00000101162	0.0	non-hallmark gene	TUBB1
ENSG00000142444	0.0	non-hallmark gene	TIMM29
ENSG00000100266	0.0	non-hallmark gene	PACSIN2
ENSG00000174886	1.0	non-hallmark gene	NDUFA11
ENSG00000114395	0.0	non-hallmark gene	CYB561D2
ENSG00000130751	0.0	non-hallmark gene	NPAS1
ENSG00000179364	0.0	non-hallmark gene	PACS2
ENSG00000167797	0.0	non-hallmark gene	CDK2AP2
ENSG00000198888	10.0	non-hallmark gene	MT-ND1
ENSG00000102245	0.0	non-hallmark gene	CD40LG
ENSG00000176256	0.0	non-hallmark gene	HMGB4
ENSG00000187616	0.0	non-hallmark gene	MYMK
ENSG00000237521	0.0	non-hallmark gene	OR7E24
ENSG00000135870	0.0	non-hallmark gene	RC3H1
ENSG00000139656	0.0	non-hallmark gene	SMIM2
ENSG00000198814	0.0	non-hallmark gene	GK
ENSG00000156222	0.0	non-hallmark gene	SLC28A1
ENSG00000278870	0.0	non-hallmark gene	OR51G1
ENSG00000262919	4.0	non-hallmark gene	CCNQ
ENSG00000176136	0.0	non-hallmark gene	MC5R
ENSG00000084070	0.0	non-hallmark gene	SMAP2
ENSG00000130748	0.0	non-hallmark gene	TMEM160
ENSG00000105696	0.0	non-hallmark gene	TMEM59L
ENSG00000172159	0.0	non-hallmark gene	FRMD3
ENSG00000103707	0.0	non-hallmark gene	MTFMT
ENSG00000124588	0.0	non-hallmark gene	NQO2
ENSG00000130005	0.0	non-hallmark gene	GAMT
ENSG00000147133	0.0	non-hallmark gene	TAF1
ENSG00000168065	0.0	non-hallmark gene	SLC22A11
ENSG00000085982	0.0	non-hallmark gene	USP40
ENSG00000156096	0.0	non-hallmark gene	UGT2B4
ENSG00000181458	1.0	non-hallmark gene	TMEM45A
ENSG00000093000	0.0	non-hallmark gene	NUP50
ENSG00000163793	0.0	non-hallmark gene	DNAJC5G
ENSG00000186212	0.0	non-hallmark gene	SOWAHB
ENSG00000271079	0.0	non-hallmark gene	CTAGE15
ENSG00000102103	0.0	non-hallmark gene	PQBP1
ENSG00000136628	0.0	non-hallmark gene	EPRS1
ENSG00000187554	0.0	non-hallmark gene	TLR5
ENSG00000154143	0.0	non-hallmark gene	PANX3
ENSG00000182545	0.0	non-hallmark gene	RNASE10
ENSG00000186288	0.0	non-hallmark gene	PABPC1L2A
ENSG00000143753	8.0	non-hallmark gene	DEGS1
ENSG00000108688	0.0	non-hallmark gene	CCL7
ENSG00000269403	0.0	non-hallmark gene	
ENSG00000141431	0.0	non-hallmark gene	ASXL3
ENSG00000154240	0.0	non-hallmark gene	CEP112
ENSG00000136942	0.0	non-hallmark gene	RPL35
ENSG00000179051	0.0	non-hallmark gene	RCC2
ENSG00000229924	0.0	non-hallmark gene	FAM90A26
ENSG00000180011	0.0	non-hallmark gene	ZADH2
ENSG00000205213	0.0	non-hallmark gene	LGR4
ENSG00000011347	0.0	non-hallmark gene	SYT7
ENSG00000198643	0.0	non-hallmark gene	FAM3D
ENSG00000183155	0.0	non-hallmark gene	RABIF
ENSG00000111728	0.0	non-hallmark gene	ST8SIA1
ENSG00000172331	0.0	non-hallmark gene	BPGM
ENSG00000112339	0.0	non-hallmark gene	HBS1L
ENSG00000183067	0.0	non-hallmark gene	IGSF5
ENSG00000182747	0.0	non-hallmark gene	SLC35D3
ENSG00000077782	0.0	non-hallmark gene	FGFR1
ENSG00000071994	0.0	non-hallmark gene	PDCD2
ENSG00000122299	0.0	non-hallmark gene	ZC3H7A
ENSG00000107249	0.0	non-hallmark gene	GLIS3
ENSG00000148400	0.0	non-hallmark gene	NOTCH1
ENSG00000101473	0.0	non-hallmark gene	ACOT8
ENSG00000213417	0.0	non-hallmark gene	KRTAP2-4
ENSG00000176909	0.0	non-hallmark gene	MAMSTR
ENSG00000089163	0.0	non-hallmark gene	SIRT4
ENSG00000153094	0.0	non-hallmark gene	BCL2L11
ENSG00000124226	1.0	non-hallmark gene	RNF114
ENSG00000075290	0.0	non-hallmark gene	WNT8B
ENSG00000110066	0.0	non-hallmark gene	KMT5B
ENSG00000100325	0.0	non-hallmark gene	ASCC2
ENSG00000106080	0.0	non-hallmark gene	FKBP14
ENSG00000117481	0.0	non-hallmark gene	NSUN4
ENSG00000176444	0.0	non-hallmark gene	CLK2
